u,i,ts,label,idx
462,298,0.0,1,431
462,234,0.0,1,432
462,179,0.0,1,433
462,430,0.0,1,434
462,334,0.0,1,435
462,270,0.0,1,436
462,29,0.0,1,437
462,281,0.0,1,438
462,29,0.0,1,439
462,281,0.0,1,440
462,281,0.0,1,441
462,29,0.0,1,442
462,281,0.0,1,443
462,281,0.0,1,444
462,29,0.0,1,445
462,281,0.0,1,446
462,234,0.0,1,447
462,334,0.0,1,448
462,281,0.0,1,449
462,2,0.0,1,450
462,281,0.0,1,451
462,2,0.0,1,452
462,29,0.0,1,453
462,742,0.0,1,454
462,281,0.0,1,455
462,29,0.0,1,456
462,281,0.0,1,457
462,29,0.0,1,458
462,29,0.0,1,459
462,29,0.0,1,460
462,281,0.0,1,461
462,281,0.0,1,462
462,29,0.0,1,463
462,29,0.0,1,464
462,29,0.0,1,465
462,29,0.0,1,466
462,29,0.0,1,467
462,281,0.0,1,468
462,281,0.0,1,469
462,281,0.0,1,470
462,281,0.0,1,471
462,29,0.0,1,472
462,281,0.0,1,473
462,281,0.0,1,474
462,29,0.0,1,475
462,281,0.0,1,476
179,396,0.0,1,477
179,307,0.0,1,478
179,292,0.0,1,479
179,574,0.0,1,480
179,252,0.0,1,481
179,559,0.0,1,482
179,304,0.0,1,483
179,220,0.0,1,484
179,196,0.0,1,485
179,294,0.0,1,486
179,39,0.0,1,487
179,210,0.0,1,488
179,568,0.0,1,489
179,256,0.0,1,490
179,425,0.0,1,491
179,346,0.0,1,492
179,597,0.0,1,493
179,251,0.0,1,494
179,26,0.0,1,495
179,196,0.0,1,496
179,196,0.0,1,497
179,535,0.0,1,498
179,491,0.0,1,499
179,252,0.0,1,500
179,376,0.0,1,501
179,167,0.0,3,502
179,196,0.0,1,503
179,196,0.0,1,504
179,196,0.0,1,505
179,161,0.0,1,506
179,129,0.0,3,507
179,196,0.0,1,508
179,129,0.0,3,509
179,186,0.0,1,510
213,354,0.0,1,511
213,544,0.0,1,512
213,178,0.0,3,513
213,178,0.0,1,514
213,118,0.0,1,515
213,272,0.0,1,516
606,45,0.0,1,517
606,161,0.0,1,518
167,297,0.0,1,519
167,26,0.0,1,520
167,577,0.0,1,521
167,29,0.0,1,522
167,30,0.0,1,523
167,24,0.0,1,524
167,1,0.0,1,525
167,1,0.0,1,526
167,368,0.0,1,527
167,577,0.0,3,528
167,117,0.0,3,529
167,448,0.0,3,530
167,1,0.0,1,531
167,196,0.0,1,532
199,114,0.0,3,533
199,1,0.0,3,534
199,281,0.0,3,535
199,281,0.0,3,536
199,1,0.0,3,537
199,1,0.0,3,538
199,1,0.0,3,539
199,1,0.0,3,540
199,1,0.0,3,541
199,1,0.0,3,542
199,1,0.0,3,543
199,1,0.0,3,544
199,1,0.0,3,545
199,1,0.0,3,546
199,1,0.0,3,547
199,1,0.0,3,548
199,1,0.0,3,549
199,1,0.0,3,550
199,1,0.0,3,551
199,1,0.0,3,552
199,1,0.0,3,553
199,1,0.0,3,554
199,42,0.0,3,555
199,552,0.0,1,556
199,42,0.0,3,557
199,42,0.0,3,558
199,42,0.0,3,559
199,42,0.0,1,560
199,1,0.0,3,561
199,42,0.0,3,562
199,42,0.0,3,563
199,42,0.0,1,564
199,42,0.0,3,565
199,1,0.0,3,566
199,117,0.0,3,567
199,117,0.0,3,568
199,42,0.0,1,569
199,1,0.0,3,570
199,1,0.0,3,571
199,249,0.0,3,572
199,1,0.0,3,573
199,1,0.0,3,574
199,44,0.0,3,575
199,117,0.0,3,576
199,117,0.0,3,577
199,1,0.0,3,578
199,1,0.0,3,579
199,1,0.0,3,580
199,1,0.0,3,581
199,1,0.0,3,582
199,1,0.0,3,583
199,1,0.0,3,584
199,1,0.0,3,585
199,1,0.0,3,586
199,1,0.0,3,587
199,44,0.0,3,588
199,117,0.0,3,589
199,117,0.0,3,590
199,117,0.0,3,591
199,1,0.0,3,592
199,118,0.0,3,593
199,44,0.0,3,594
199,44,0.0,3,595
199,1,0.0,3,596
199,1,0.0,3,597
199,1,0.0,1,598
199,1,0.0,3,599
199,42,0.0,3,600
199,1,0.0,3,601
509,437,0.0,3,602
509,27,0.0,1,603
509,20,0.0,3,604
509,20,0.0,3,605
509,437,0.0,3,606
509,1,0.0,3,607
509,36,0.0,1,608
509,86,0.0,1,609
509,328,0.0,1,610
509,64,0.0,1,611
509,333,0.0,1,612
509,89,0.0,1,613
509,109,0.0,1,614
509,117,0.0,1,615
509,36,0.0,3,616
509,552,0.0,3,617
509,332,0.0,1,618
509,67,0.0,1,619
509,246,0.0,1,620
509,109,0.0,1,621
509,552,0.0,1,622
509,20,0.0,1,623
509,20,0.0,3,624
509,552,0.0,1,625
509,117,0.0,1,626
509,117,0.0,1,627
509,332,0.0,1,628
509,20,0.0,1,629
509,23,0.0,1,630
509,552,0.0,3,631
509,67,0.0,1,632
509,92,0.0,1,633
509,78,0.0,3,634
509,117,0.0,1,635
509,328,0.0,1,636
509,326,0.0,1,637
509,78,0.0,3,638
509,78,0.0,1,639
509,9,0.0,1,640
509,417,0.0,3,641
509,238,0.0,1,642
509,9,0.0,1,643
509,366,0.0,1,644
509,371,0.0,1,645
509,9,0.0,1,646
509,272,0.0,1,647
509,541,0.0,3,648
509,541,0.0,3,649
509,403,0.0,1,650
509,36,0.0,1,651
509,411,0.0,3,652
509,36,0.0,3,653
509,7,0.0,1,654
509,446,0.0,3,655
509,328,0.0,1,656
509,414,0.0,1,657
509,36,0.0,1,658
509,9,0.0,1,659
509,92,0.0,1,660
509,9,0.0,1,661
509,7,0.0,1,662
509,86,0.0,1,663
509,7,0.0,1,664
509,236,0.0,1,665
509,36,0.0,1,666
509,403,0.0,1,667
509,491,0.0,1,668
509,176,0.0,1,669
509,9,0.0,1,670
509,62,0.0,1,671
509,23,0.0,1,672
509,73,0.0,1,673
509,36,0.0,1,674
509,20,0.0,1,675
509,89,0.0,1,676
509,9,0.0,1,677
509,479,0.0,1,678
509,350,0.0,3,679
509,350,0.0,1,680
509,350,0.0,1,681
509,366,0.0,1,682
509,246,0.0,1,683
509,345,0.0,1,684
509,109,0.0,1,685
509,86,0.0,1,686
509,437,0.0,1,687
509,9,0.0,1,688
509,552,0.0,1,689
509,41,0.0,1,690
509,109,0.0,1,691
509,36,0.0,1,692
509,27,0.0,1,693
509,548,0.0,1,694
509,164,0.0,1,695
509,327,0.0,1,696
509,9,0.0,1,697
509,9,0.0,1,698
509,489,0.0,1,699
509,489,0.0,1,700
509,446,0.0,1,701
509,553,0.0,1,702
509,327,0.0,1,703
509,328,0.0,1,704
509,9,0.0,1,705
509,11,0.0,1,706
509,23,0.0,1,707
509,9,0.0,1,708
509,328,0.0,1,709
509,7,0.0,1,710
509,247,0.0,1,711
509,36,0.0,3,712
509,62,0.0,3,713
509,65,0.0,3,714
509,78,0.0,3,715
509,255,0.0,3,716
509,277,0.0,1,717
509,277,0.0,3,718
509,92,0.0,1,719
509,86,0.0,3,720
509,328,0.0,1,721
509,147,0.0,1,722
509,328,0.0,1,723
509,9,0.0,1,724
509,489,0.0,1,725
509,92,0.0,1,726
509,524,0.0,3,727
509,328,0.0,1,728
509,114,0.0,1,729
509,119,0.0,1,730
509,328,0.0,1,731
509,86,0.0,3,732
509,20,0.0,1,733
509,7,0.0,1,734
509,246,0.0,1,735
509,552,0.0,1,736
509,86,0.0,3,737
509,86,0.0,1,738
509,255,0.0,3,739
509,552,0.0,1,740
509,1,0.0,3,741
